start	end	text
14235	18797	Tonight, February 5th, 2006, new details emerge on the PlayStation 3.
19497	21838	Do American games always fail in Japan?
22118	23859	And a special ode to Kingdom Hearts.
27921	38125	Orange Lounge Radio Hello everybody and welcome to another week of Orange Lounge Radio.
38746	40066	It is February 5th, 2006.
42202	43423	DarkSakura, DarkSakura, DarkSakura
71724	75095	Say hello also to the one and only Loki.
77201	78445	Hi, how you doing?
80336	81356	Bad Rob!
81517	82557	Bad Rob!
83077	84278	Printer sucks!
84398	85498	Let me set up a little background.
85538	89100	I know we're a video game show, but let's face it, we've got to talk about our personal lives once in a while too.
89460	97343	Okay, I just bought a cheap printer today because for work I'm going down to LA on Monday and I have to fly out at 6 o'clock in the morning.
97603	98644	Well, I'm flying Southwest.
98684	105787	You know how Southwest has those boarding pass systems where depending on what time you print your boarding pass from the internet, you get an A, B, or C pass, right?
106347	108548	So I bought a printer so I could have myself an A-pass.
108568	109428	Well, I screwed up.
109868	111988	I thought you couldn't print your passes until after midnight.
112048	117350	And then, like, literally 30 minutes before the show, I realized, oh, crap, you can actually print them up to 24 hours in advance.
117650	122051	So I'm hooking up the printer in this furious frenzy, and now the damn thing won't even print.
122111	126152	And Loki's stuck over there because I have his computer frozen up with the boarding pass sitting there.
126212	132493	Yeah, because this wonderful printer that you bought didn't come with a black cartridge because that would have been too expensive.
132633	135354	And the printer's like, no, I don't want to print without a black cartridge.
135674	135794	Fuck!
135794	137936	DarkSakura, Loki, VOG Network, DJ Ranma S, Actdeft, Drew, Carameldansen
164675	165516	Rob Ofer
195023	197885	Let's not talk about my personal crises for a minute.
197925	201307	Let's talk about our gaming weeks and how that's been going.
201487	204109	And we'll start off with a lovely DarkSakura with.
204149	205089	How was your gaming week?
205169	207050	I'm staring at the pretty precious.
208271	219558	I have in my hands Kingdom Hearts 2, which I've been playing a little bit of enough to realize that Ruxus sucks and that I'm glad that I don't have to use him the entire game.
220598	220679	Um...
223427	224367	It's very interesting.
224407	226288	It looks very, very pretty on my TV.
226828	232492	Except it's still on the PS2, so it's got jaggedies all to hell and back.
232952	234733	But the CG scenes look really pretty.
235693	236994	I loves me some Kingdom Hearts.
237274	238915	Yep.
239015	242617	I've also been playing lots of Animal Crossing, of course.
243618	249001	And Dan picked up Maverick Hunter X, the Mega Man X remake.
250089	251910	and it's pretty damn cool.
252550	255752	I mean, they completely redid the game for the PSP.
255912	256813	It's fabulous.
257393	263897	And also, if you beat the game, you get to get this little sort of OAV of how things led up to the situation.
264617	268359	Actually, the dubbing in it is not horrendous, which surprises the hell out of me.
268999	270880	It's very, very well done.
270920	271781	I'm very pleased.
271961	279365	And then you can play as the first guy that you fight, whose name eludes me at present, but he looks like Boba Fett.
280851	282552	And that's the Japanese copy that you have?
282712	283492	No, the American one.
283733	286974	Wow.
290336	290937	Maverick Hunter?
291397	292377	Oh, Maverick Hunter, never mind.
292457	298000	Yeah, I was wondering how I was playing it then purchased at a GameStop.
298781	299081	No!
299701	301482	No, no, I was talking about Kingdom Hearts.
302143	303743	Go back to the boarding pass, Loki, make it work.
305129	306350	What about Kingdom Hearts?
306390	307151	That's the Japanese one.
307171	308072	Yes, this is the Japanese one.
308172	309353	Okay, okay, I'm up to speed.
309373	310494	Yes, this is the Japanese one.
310934	313416	And how does that, um, how is that?
314597	315157	Is it beautiful?
315237	317159	I said it was pretty, but jaggedy.
317559	319821	Well, yeah, I mean, just, you can understand.
319941	320162	It's fun.
320182	321763	It actually plays more like Devil May Cry.
322343	322564	Really?
323805	333773	In fact, you want to play this game on as hard of a level as you can, or you will not level up high enough to beat Sephiroth by the time you get to him.
334943	335904	Puzzle Fighter Game Boy Micro
364870	391357	which when you're sitting in a waiting room having your eye checked out after it is swollen from an allergic reaction to a dog which I will be getting to later on in the show and your eye is in searing, throbbing pain it's very hard to look at a Game Boy micro screen I tortured myself for my art alright, that it?
391497	392937	my eye still looks like I got punched in it
393843	394823	I didn't even notice.
395363	396864	Oh, okay, a little bit.
396944	398224	It's not that bad.
398244	401825	At least it's not as bad as it was Friday because I looked like a Romero reject.
402705	407567	It was all like red bloodshot and then like that clear green that they only give zombies.
409047	409347	Okay.
409487	412108	So, yeah, I looked like a Romero reject.
412448	414409	Which means we have to cut off her head.
414749	419610	No, which is, nobody in this room is in any danger of me eating their brain.
419850	420991	Oh, that's refreshing.
421031	421291	Thank you.
421371	422131	Good, I'm glad.
422151	422611	Yeah.
423174	425456	I have a night elf, a level 38 night elf
447293	457386	on the Malfurion server, and I also have a level 29 druid on the Spinebreaker server that I've been playing with.
458788	462432	And they are mucho fun to play with, let me tell you.
462572	465156	How are the guilds that you've been joining up in the game?
465196	465877	Lots of drama.
467189	471832	I swear, I didn't know that all of this drama in the world of video games existed.
472033	474174	There's a bunch of drama queens in World of Warcraft.
474214	475635	Totally.
476075	484701	I got invited to a guild not too long ago on the Spinebreaker server, and the leader kept on giving me gifts or whatever.
484962	486443	He was enticing me with gifts.
487243	487363	And...
488706	493388	Suddenly, like, last night I'm playing, and I knew that there was a little bit of drama.
493408	497429	It didn't have anything to do with me or anything like that in the guild.
497890	500090	And two people were kicked off recently.
500591	503532	And then the leader himself left, the guy who invited me.
504012	508213	So I'm like, you know, I didn't even talk to anybody really on that guild anyway.
508454	511034	And the only guy I talked to was the guy who was giving me things.
511055	514576	So I was like, you know, screw this guild.
515296	515736	And I left.
516156	517457	And then Shane invited me to his.
518840	520761	or Miklatov, which you guys all know.
521141	522001	Yeah, he was here last week.
523481	525582	And stuff.
527222	527823	Exciting.
528223	528543	All right.
529323	533224	Loki, do you want to stop fighting with my new printer for a minute to tell us about your gaming week?
534744	536285	No, but I will.
536525	536805	Okay.
537865	538846	I didn't play too much.
538886	547408	I played Ridge Racer 6 a lot, as well as some more Grand Theft Auto Liberty City stories and a little bit of Animal Crossing.
548631	549591	and that's pretty much it.
549992	552973	Didn't play too much Call of Duty, really busy week, so.
554153	555453	Lots of Ridge Racer though, I love that game.
