start	end	text
289	2830	Orange Lounge Radio To Go Edition, week of June 27th, 2005.
2930	14354	You're tuned in to the Orange Lounge Radio To Go Edition, your podcast home for all the latest video game news and gamer chat.
14634	18596	Now, here are your hosts, DarkSakura, Sky, and Loki.
19516	28259	Hello, everybody, once again, and welcome to the Orange Lounge Radio To Go Edition, our 26th episode, if you can believe it.
29649	36752	Uh, the podcast dedicated to those video games that don't suck, and well, sometimes we do have to talk about some that do, but not very many.
36892	37853	We try to keep that to a minimum.
38353	40254	My name is Rob Roberts, you might know me as Sky.
40594	46157	Join me as always, my awesome co-host, in this quarter, the happiest bunny on the farm, DarkSakura.
46197	46657	Jamie Summers.
47337	49258	You know, the ones that suck are the ones we make fun of.
49698	50099	Of course.
50399	52380	We have to bring them up so we can tease.
53240	55101	Bash them into a pulp of...
55990	59876	Broken silicon and wires and knotted plastic.
60116	67948	And then of course a reoccurring theme that's come up a lot lately are the games that are being turned into movies that we get to bash into a bloody pulp and all that stuff.
67988	68649	Don't get me started.
68669	69991	And I have another one to talk about tonight.
70458	70898	Joy!
71099	71619	Joy, Joy.
72120	74502	Also joining us, Techmaso, one and only Loki!
75082	75563	I am here.
76223	76704	How you doing?
77485	77925	I am here.
78265	78826	Alright.
79587	80027	Here we are.
80127	80588	He's there.
80828	81869	Yeah, he's there, you're here.
81989	82549	We're all here.
82649	83570	This is me in the corner.
83730	84531	In the person.
84811	85912	That's me in the spotlight.
86093	86533	Yeah, great.
87854	98619	Um, just a reminder, Horns Launch Radio To Go Edition is actually brought to you in MP3 Pro encoding, so if you don't like the way this sounds on your iPod, that's because iPods don't have the MP3 Pro thing.
98939	101020	I wish they did, but maybe they'll get that in the future.
101540	106882	Um, but if you listen to this on, like, Winamp or whatever, you can get a MP3 Pro codec and this show sounds even better.
107302	109683	You can hear us in full stereo and everything, it's great.
109803	112925	Anyway, just thought I'd throw that out there because I haven't talked about that in, like, oh, 25 weeks or so, so...
114065	115005	I played one quest on PSO and that was it.
115025	115886	I did the caves.
137287	138088	I did the caves.
138508	139028	How'd that go?
139449	143752	Well, this thing is how I have a full power mag at the time on the level 11 character.
144412	145373	I'm level 13 now.
146253	150696	I was just like, die, die, die, die, die, die, die, die, die.
150797	152898	How's PSO going now that it went pay?
152978	154779	Is there a lot less people on there?
155140	155920	I haven't noticed.
155960	158102	I always play by myself or with people I know anyway.
159062	159783	It's PSO.
159963	160984	Same thing it always was.
161324	163025	We're supposed to have Ep 4, though.
163045	163966	I need to check that out.
165003	166366	I picked up Destroy All Humans.
177802	188128	You know, remembering that you also ran out and bought Alien Hamed, and you like these Invader Zim-ish, alien, taking over the world type games, doesn't surprise me one bit that you ran out and bought it.
188148	192911	Well, the only reason I bought Alien Hamed is because it reminded me of Contra and Metal Slug.
192951	194272	That's the only reason I bought that game.
195453	201537	But, no, Destroy All Humans was basically for the... It's the same reason I bought Dog's Life.
202077	211204	In fact, this game reminds me of a dog's life in a lot of aspects, except for the fact that you're an alien and the other one you're a dog.
211544	218249	This alien has the ability to throw stuff telekinetically, which just offers endless playability right there.
218349	223253	You can just pick up chickens, throw them into walls, pick up people, throw them against the ground.
223813	225634	Pick up a cow, throw it into the air.
225974	228495	Help me understand this game a little bit because I've seen the commercials and everything.
228515	232096	So I understand that you play as an alien who is destroying all humans.
232356	232616	Why?
232816	233016	Why?
233156	233957	Why are they killing all humans?
233977	234917	Why are they destroying all humans?
234977	235177	Okay.
235437	240079	Well, basically what happens is this race of aliens or whatever, they're from some distant planet.
240839	247702	And a long, long time ago when they destroyed the Martians or whatever, they got pissed off or whatever and came to Earth.
247722	250623	They found that it was very primitive and whatnot.
250663	251443	So they inject it.
252523	254764	Some of their DNA into the early humans.
255164	261666	And since their race has no ability to reproduce, they have to clone themselves.
261746	269088	And after a while, generations and generations, their clones have become inferior to what they used to be.
269148	276530	So now they've come back to Earth to extract this DNA from humans and at the same time just destroy the whole planet because, you know,
278079	279440	Destruction for no particular reason.
279460	280680	That's because that's what they do.
280720	281961	That's why they destroyed the Martians.
281981	283402	Sort of like Jamie driving in her new car.
283842	284302	Hey!
284342	284882	Just kidding.
284942	288464	You were in my car with me today and I didn't kill anybody while you were there.
288624	289604	Although you wanted to.
290285	290925	Stupid van!
292384	293024	The Movie Man.
316938	339685	um, there's, you've got the missions that you're supposed to be doing, but after you finish the mission, you're still in the level, so you can collect, like, what's left of, there's, like, um, these hidden, almost, like, um, they're, like, uh, probes or whatever you have to find, and then that unlocks some other stuff, and then you can also extract DNA from the people, and that you can use to upgrade your ship, upgrade your, you know, abilities and whatnot, um,
340785	341506	DarkSakura, DarkSakura
362130	363890	Oh yeah, definitely go play it.
363910	366031	There's not much in July, so it's a good game.
366211	368472	For everybody to play or for a certain audience?
368872	369652	Oh, it's for everyone.
370372	371392	Honestly, just go play it.
371612	372513	I mean, it's a lot of fun.
372673	373933	Even if you don't buy it, rent it.
374013	374453	It's great.
377954	378234	I'm done.
378814	386997	I got a call actually today from Dan while he was at work asking me if I wanted a black Labrador, a miniature Dachshund, or a Chihuahua.
387737	388517	You're getting a doggie?
389005	390006	I'm getting a Nintendog
410000	410460	DarkSakura, DarkSakura,
433530	436833	The US ones, you can unlock the Japanese dogs.
437174	446382	And also, for example, if someone has the Chihuahua one, someone has the mini Dash Hound, and you, I guess, interact with the Chihuahua one, it unlocks the Chihuahua one on yours.
446402	448644	So we should all make sure we get different ones when we get the game.
449024	449925	Is there a Shih Tzu?
450826	452047	Yes, there is a Shih Tzu.
452067	454970	I have to get a Shih Tzu just so I can say, I have a Shih Tzu.
454990	456992	It's technically Shih Tzu.
457212	457993	I like Shih Tzu.
458013	459054	Yeah, pah.
460949	465473	I almost picked the Dachshund, but I like the Black Labs.
466714	467534	I'm still waiting for Nintendo.
467554	470317	Labrador Retriever, Chihuahua, and me, Dachshund.
470337	475681	Speaking of DS games, my gaming week, what I got to play this week was Bomberman DS, which I am...
476161	477502	Super Bomberman 2 on Super Nintendo
499908	501009	I do remember the old Super Nintendo.
501029	502169	There were like four of them on Super Nintendo.
502189	504130	Well, you had the multi-tap.
504310	515935	Well, if you're a Bomberman fan, this is pretty much classic Bomberman, but the very cool thing, I love what they did with this Bomberman DS is that you can play eight-person multiplayer, one cartridge.
516595	523318	None of this, everybody's got to have the cartridge to play the game, because the DS is wireless and everything, you just send the game over and eight people can play off one cartridge.
523358	524039	I think that's awesome.
524579	528981	And this is what else I love about the DS here in this game, is that
529423	531446	It's not touch at all.
532247	533729	It's using the two screen thing.
533769	541279	I think you can, like you can set the controls to use the touchscreen if you want, but I'm loving it now that the games aren't feeling the need to whore the touch thing
542102	542662	incessantly.
542942	548324	Like they're actually coming up with good games that use just the two screen feature and that's what Bomberman does because there's eight people.
548784	551305	Now you have eight corners because there's the two screens.
551685	553245	So it works out pretty well.
554186	556646	Graphic wise it's just what you expect from a Bomberman game.
556666	560628	Probably a little better than what you saw on Super Nintendo but you know it's Bomberman.
560708	562228	It's not going to revolutionize the graphic world.
562988	568670	And it's just, it's a fun, it's a very good handheld game because handheld games are supposed to be the quick and easy
569150	569850	I had my birthday.
587061	596345	On the 26th, I know, I don't want to talk about my age, but some of my friends got together and bought me a PSP, which was very cool, so I have a PSP now.
597665	609590	And of course, the very first thing I did with it, because I don't know if you guys were listening to this show a couple months ago, but I actually picked up a copy of Luminous before I had a PSP, and I just let my friend borrow it, because I'm like, you can't get a PSP and not get Luminous.
609790	611270	I will buy it for when I get a PSP.
612451	615952	Well, he still has my copy of Luminous, unfortunately, so I have nothing to play on my PSP right now.
616332	625654	So the very first thing I do with my PSP, I fired up the homebrew page on the internet and I downloaded some Nintendo emulator and some ROMs.
625934	627254	Dan's been going crazy with that.
627494	628054	Oh, it's awesome.
628074	629334	We've got a gigabyte memory card.
629574	630015	It's awesome.
630895	633055	So yeah, he's got something like 50 ROMs on it.
633255	642837	It kind of works out for Sony in the long run too because Nintendo's been selling some of these games for $20 a pop and now people can play them for free on their PSP, although...
643331	649834	It's one of those things that nobody's supposed to talk about, but this kind of thing has to be a selling point for the PSP.
650755	651355	For some people.
651955	653336	For me, it definitely sells it.
654056	655797	So, Loki, I'll let you start tonight.
655917	658158	I know you probably... I kind of spoiled it there.
658199	665122	We've got the no-swap trick there now for the emulators, but what else is new in the hack-and-crack scene?
665362	668764	Well, that was pretty much the news this week, was that the...
669488	678414	New Exploit was released on Wednesday, I believe, and it's basically not very different from the last Exploit.
678494	693364	You basically have two folders on one memory card, except one of them has a percent sign at the end of it, and you basically have your two sets of e-boot files, and it just runs off your memory card now.
693505	695466	No need to swap, just go.
696181	697142	DarkSakura, DarkSakura, DarkSakura
713251	714211	No, 152.
714691	715712	That's the Japanese one.
716932	717392	The U.S.
717412	717852	one's 152.
718132	719232	And guess what, folks?
719492	726094	But they're working on 151 and 152 already, and it's going to be a matter of time before that's not even an issue.
726314	728574	It's going to be like Trillion and AOL.
728634	734215	Like every time AOL patches their server so Trillion can't use it anymore, within two days Trillion has a workaround.
734235	736096	It's just going to be the same thing.
736476	736896	It's great.
738297	741859	So yeah, it's been major news, actually.
742099	745860	There's been some cool homebrew games coming out, you know, some Blackjack Casino stuff.
746001	746661	That's kind of neat.
747441	750923	Actually, another thing that was pretty interesting was...
752302	757246	Game Boy Advance Simulator for the PSP.
757486	757946	Full speed?
758747	759428	Runs pretty good.
760128	763831	It's limited to files that are under 8 megs.
764852	765813	The ROMs have to be under 8 megs.
765893	767094	The Nintendo one's not perfect.
767114	771897	The Nintendo one, I noticed, wouldn't play Life Force, which is one of my favorite Nintendo games, and it wouldn't play Gyruss.
772077	772638	So it's
773214	773754	It's not there.
773774	774074	It's not there.
797916	803320	Actually, Dan tried the Game Boy Advance one and it ran Fire Emblem like crap.
804541	806442	He said it ran it so slow that it was a torture to play it.
810856	811797	So you didn't bother with it.
812258	813079	I don't know.
813139	825055	Now that we're seeing that the things get this advanced, you've got to go, well, you know, if Sony is going to try and screw with people so that their firmware is going to be forced to upgrade, you really can't blame them because this could get ugly.
825195	827197	Well, it technically is money out of their pockets.
827338	827578	Yeah.
829040	831241	It's going to get ugly if this stuff gets too mainstream.
831742	836846	The other thing I was going to mention is the game coming out later on this year, the Summer Burnout Legends.
837026	843832	One of the unique things about it is it will be able to share a demo level with other people via download play type thing.
844953	849177	So that's kind of a first also for the PSP, which is kind of neat.
849918	856163	And I know that's already been built into it, and you'll be able to download games and whatnot, hopefully to your memory stick.
856969	874673	and so that'll be coming out with Burnout Legends and then also really there's some good games coming out I know Midnight Club 3 just got released so that's going to be coming out next week so you can pick that up and then a bunch of cool stuff coming out, MediEvil they're working on
875762	877403	So it's a good summer for PSP.
877663	878084	Very cool.
878604	895276	One quick question I just want to pose to you guys, and those of you that are listening at home as well, I'm kind of curious, with the news about the Nintendo emulation and everything, usually people say emulation is not a bad thing because you're only playing things that you can't buy in the store anymore, and that's kind of, that's like the justification, you've seen this.
896039	903886	Is this Nintendo emulation ethical considering that Nintendo is still trying to profit off some of these old titles through their GBA Classic series?
904007	904387	What do you think?
904967	910673	From a support standpoint, you know, it is not ethical, I believe.
911073	911734	Because technically...
913581	918522	All right, like example, they're re-releasing Zelda.
918562	919042	That's out.
919462	921563	But say that you have an emulator to play it.
922023	926524	That is however much, say $35, that Nintendo's not going to get.
926684	930225	Now say that this is you times about 100 other people.
930525	932986	That's $3,500 that Nintendo's not getting.
934130	940113	That means that any future game that comes out is going to jack the price because they have to make up for loss of sales on that.
940153	947778	I know that they figure this in when they set price points, but the thing is that the price is going to keep going up the more that this goes on.
949244	949705	Counterpoint?
950266	955273	Counterpoint is they shouldn't be trying to resell fucking the first game of Zelda in the first place.
955353	959099	I'm not going to pay $20 for a game that's been out for years now.
959419	962404	Why should I have to buy some stupid game to run on the Game Boy Advance?
962544	964587	I'm going to run a damn emulator and play it for free.
965302	969325	and that's my take on even their other stuff with the new Revolution.
